Taxon,Group,FAD,LAD,Age,Neck,Trunk,Neck_ratio
Albertonectes_vanderveldei,Elasmosauridae,76.27,72.05,74.16,700,188,3.72
Archaeonectrus_rostratus,Rhomaleosauridae,199.6,190.82,195.21,90,95.6,0.94
Aristonectes_quiriquinensis,Elasmosauridae,70.63,66.04,68.335,350,400,0.88
Attenborosaurus_conybeari,Pliosauridae_basal,195.31,190.82,193.065,193.4,125.6,1.54
Avalonnectes_arturi,Rhomaleosauridae,201.3,199.3,200.3,69,54.5,1.27
Bobosaurus_forojuliensis,Pistosauroidea,235.39,233.5,234.445,89,98,0.91
Brancasaurus_brancai,Leptocleididae,141.93,139.39,140.66,138,75.9,1.82
Callawayasaurus_colombiensis,Elasmosauridae,125,122.98,123.99,380,207,1.84
Ceresiosaurus_calcagnii,Nothosauroidea,241.5,239.1,240.3,40.7,54.5,0.74
Colymbosaurus_trochanterius,Cryptoclididae,157.3,147.72,152.51,200,160,1.25
Corosaurus_alcovensis,Pistosauroidea,248.46,247.06,247.76,25,50,0.5
Cryptoclidus_eurymerus,Cryptoclididae,166.1,163.5,164.8,108,99,1.09
Cyamodus_orientalis,Placodontia,233.5,228.35,230.925,10.5,39.7,0.26
Dactylosaurus_schroederi,Pachypleurosauria,246.36,244.94,245.65,4.5,6.5,0.69
Diandongosaurus_acutidentatus,Eosauropterygia_basal,244.94,243.99,244.465,7.25,7.775,0.93
Dianmeisaurus_gracilis,Eosauropterygia_basal,244.94,243.99,244.465,6.8,7.8,0.87
Dianopachysaurus_dingi,Pachypleurosauria,244.94,243.99,244.465,4.07,3.75,1.09
Dolichorhynchops_osborni,Polycotilidae,87.86,80.97,84.415,56.85,85.9,0.669
Elasmosaurus_platyurus,Elasmosauridae,81.13,78.34,79.735,667,214,3.12
Eopleiosaurus_antiquior,Plesiosauria_basal,201.3,201.1,201.2,135,78,1.73
Glyphoderma_kangi,Placodontia,237,235.39,236.195,5.8,26.4,0.22
Hauffiosaurus_longirostris,Pliosauridae_basal,182.7,178.24,180.47,180,203,0.89
Hauffiosaurus_tomistomimus,Pliosauridae_basal,182.7,178.24,180.47,152,97,1.57
Hauffiosaurus_zanoni,Pliosauridae_basal,182.7,178.24,180.47,93,82,1.13
Henodus_chelyops,Placodontia,235.39,233.5,234.445,14.2,57,0.25
Hydrotherosaurus_alexandrae,Elasmosauridae,72.05,66,69.025,445,140,3.18
Kaiwhekea_katiki,Elasmosauridae,72.05,66,69.025,265,195,1.36
Keichousaurus_hui,Pachypleurosauria,239.1,235.39,237.245,6.78,5.66,1.12
Kronosaurus_boyacensis,Thalassophonea,126.3,113,119.65,111,282.5,0.39
Kronosaurus_queenslandicus,Thalassophonea,126.3,100.5,113.4,187,315,0.59
Lariosaurus_balsami,Nothosauroidea,239.1,237,238.05,17.3,26,0.67
Lariosaurus_valceresii,Nothosauroidea,239.1,237,238.05,22.4,27.6,0.81
