Name;Start;End;Substage
CRN;237.00000;227.00000;1
NOR;227.00000;208.50000;2
RHT;208.50000;201.30000;3
HET;201.30000;199.30000;4
SIN;199.30000;190.80000;5
PLB;190.80000;182.70000;6
TOA;182.70000;174.10000;7
AAL;174.10000;170.30000;8
BAJ;170.30000;168.30000;9
BTH;168.3000;166.10000;10
CAL;166.1000;163.50000;11
OXF;163.50000;157.30000;12
KIM;157.30000;152.10000;13
TTH;152.10000;145.00000;14
BER;145.00000;139.80000;15
VAL;139.80000;132.90000;16
HAU;132.90000;129.40000;17
BAR;129.40000;125.0000;18
APT;125.00000;113.0000;19
ALB;113.00000;100.5000;20
CEN;100.50000;93.90000;21
TUR;93.9000;89.800000;22
CON;89.80000;86.30000;23
SNT;86.3000;83.60000;24
CMP;83.6000;72.10000;25
MAS;72.1000;66.0000;26
DAN;66.0000;61.6000;27
SEL;61.6000;59.2000;28
THN;59.2000;56.0000;29
YPR;56.0000;47.8000;30
LUT;47.8000;41.2000;31
BRT;41.2000;37.8000;32
PRB;37.8000;33.9000;33
RUP;33.9000;27.8200;34
CHT;27.8200;23.0300;35
AQU;23.0300;20.4400;36
BDG;20.4400;15.9700;37
LNG;15.9700;13.8200;38
SRR;13.8200;11.6300;39
TRT;11.6300;7.2460;40
MSS;7.2460;5.3330;41
PLI;5.3330;2.5800;42
PST;2.5800;0.0100;43
FINAL;1.0000;0.0050;44
