Name;Start;End;Substage
IND;251.90000;251.20000;1
OLE;251.20000;247.20000;2
ANS;247.20000;242.00000;3
LAD;242.00000;237.00000;4
CRN;237.00000;227.00000;5
NOR;227.00000;208.50000;6
RHT;208.50000;201.30000;7
HET;201.30000;199.30000;8
SIN;199.30000;190.80000;9
PLB;190.80000;182.70000;10
TOA;182.70000;174.10000;11
AAL;174.10000;170.30000;12
BAJ;170.30000;168.30000;13
BTH;168.3000;166.10000;14
CAL;166.1000;163.50000;15
OXF;163.50000;157.30000;16
KIM;157.30000;152.10000;17
TTH;152.10000;145.00000;18
BER;145.00000;139.80000;19
VAL;139.80000;132.90000;20
HAU;132.90000;129.40000;21
BAR;129.40000;125.0000;22
APT;125.00000;113.0000;23
ALB;113.00000;100.5000;24
CEN;100.50000;93.90000;25
TUR;93.9000;89.800000;26
CON;89.80000;86.30000;27
SNT;86.3000;83.60000;28
CMP;83.6000;72.10000;29
MAS;72.1000;66.0000;30
