,Elasmosauridae,Polocotylidae,Thalassophonea,,,,
Tree 1,0.0019,0.4568,0.7878,,,,
Tree 2,1.00E-04,0.5299,0.8399,,,,
Tree 3,1.00E-04,0.8243,0.4719,,,,
Tree 4,3.00E-04,0.216,0.1766,,,,
Tree 5,1.00E-04,0.8812,0.6028,,,,
Tree 6,1.00E-04,0.1046,0.3905,,,,
Tree 7,0.0042,0.8599,0.7095,,,,
Tree 8,1.00E-04,0.1998,0.5005,,,,
Tree 9,1.00E-04,0.995,0.7183,,,,
Tree 10,1.00E-04,0.7651,0.3447,,,,
Tree 11,1.00E-04,0.4978,0.9031,,,,
Tree 12,0.0125,0.2173,0.8669,,,,
Tree 13,1.00E-04,0.8193,0.3766,,,,
Tree 14,1.00E-04,0.471,0.9185,,,,
Tree 15,1.00E-04,0.2285,0.7633,,,,
Tree 16,0.115,0.9941,0.5639,,,,
Tree 17,1.00E-04,0.9868,0.4332,,,,
Tree 18,0.1538,1.00E-04,0.7004,,,,
Tree 19,1.00E-04,0.8225,0.5194,,,,
Tree 20,1.00E-04,0.7882,0.4689,,,,
