Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	11.720000	851	4.255000	1.158159	0.982841	1.000000	1.631834	0.027958	0.020558	0.022354	0.044419	0.281941	0.237694	0.261889	0.123419	0.327664	0.240942	0.261989	0.520586	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	5.767251	1045	5.225000	1.187053	0.976257	1.000000	1.658775	0.028588	0.020147	0.022441	0.044084	0.138739	0.116966	0.128872	0.060733	0.164876	0.116192	0.129426	0.254242	Paraplacodus_broilii	
3	8	0.364000	1482	7.410000	1.150356	1.023396	1.000000	1.859953	0.027754	0.019463	0.022132	0.059605	0.008757	0.007382	0.008134	0.003833	0.010103	0.007085	0.008056	0.021696	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.180000	1950	9.750000	1.240249	1.013693	1.000000	2.080859	0.029872	0.019697	0.022221	0.054306	0.004330	0.003651	0.004022	0.001896	0.005377	0.003545	0.004000	0.009775	Placodus_gigas,Placodus_inexpectatus	
5	1	5.737751	1793	8.965000	1.112600	1.002015	1.000000	1.401233	0.026850	0.019742	0.022155	0.039193	0.138030	0.116368	0.128213	0.060422	0.154057	0.113273	0.127120	0.224879	Placodus_gigas	
6	1	2.283638	1867	9.335000	1.179900	1.043175	1.000000	1.937685	0.028577	0.019632	0.022186	0.053289	0.054936	0.046315	0.051029	0.024048	0.065259	0.044832	0.050664	0.121694	Placodus_inexpectatus	
7	6	7.489000	1484	7.420000	0.998655	0.999911	1.000000	0.693995	0.024042	0.020326	0.021939	0.020775	0.180159	0.151885	0.167345	0.078864	0.180053	0.152221	0.164301	0.155581	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	4.226000	2017	10.085000	1.102783	0.983610	1.000000	1.391929	0.026570	0.020045	0.022054	0.036980	0.101662	0.085708	0.094432	0.044503	0.112283	0.084710	0.093198	0.156276	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	7.011155	2024	10.120000	1.073781	1.027252	1.000000	1.293321	0.025825	0.020817	0.022016	0.034561	0.168663	0.142194	0.156668	0.073832	0.181066	0.145949	0.154354	0.242312	Cyamodus_orientalis	
