Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	3.730000	305	1.525000	1.041537	1.011287	1.000000	0.589984	100.219287	97.947427	97.245893	57.440597	358.855157	370.283685	362.608423	12.928651	373.817941	365.343901	362.727183	214.253425	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	7.092103	385	1.925000	1.047758	0.999903	1.000000	0.634647	100.827278	99.614222	97.254164	61.758559	682.315747	704.045585	689.452088	24.582124	715.077438	706.474321	689.736545	437.998062	Paraplacodus_broilii	
3	8	1.017000	583	2.915000	1.163855	1.012036	1.000000	1.495076	111.958590	99.022933	97.279513	143.846601	97.843350	100.959385	98.866693	3.525050	113.861886	100.706323	98.933264	146.291993	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.120000	1140	5.700000	1.338571	0.945521	1.000000	2.801178	128.813379	86.724530	97.355148	272.753328	11.544938	11.912612	11.665687	0.415935	15.457605	10.406944	11.682618	32.730399	Placodus_gigas,Placodus_inexpectatus	
5	1	4.847225	950	4.750000	1.161159	0.986032	1.000000	1.224132	111.762237	99.264534	97.313436	118.601158	466.340936	481.192583	471.218395	16.801093	541.736709	481.157531	471.700120	574.886498	Placodus_gigas	
6	1	2.055273	1013	5.065000	1.179528	0.998962	1.000000	1.361614	113.505291	98.005808	97.320851	131.628008	197.733329	204.030579	199.801421	7.123836	233.284361	201.428692	200.020917	270.531491	Placodus_inexpectatus	
7	6	5.403000	498	2.490000	1.039151	0.992899	1.000000	0.612912	99.996305	97.492865	97.237876	59.478329	519.810835	536.365348	525.247536	18.727480	540.280034	526.753952	525.376241	321.361411	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	4.294000	877	4.385000	1.052877	0.987553	1.000000	0.719904	101.295621	97.472004	97.216704	69.349656	413.116366	426.272960	417.437150	14.883546	434.963398	418.544783	417.448527	297.787423	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	5.405124	924	4.620000	1.054145	1.007821	1.000000	0.743356	101.434229	99.475467	97.228921	71.989869	520.015180	536.576201	525.454019	18.734842	548.264585	537.677233	525.534372	389.114168	Cyamodus_orientalis	
