,Elasmosauridae,Polocotylidae,Thalassophonea
Tree 1,0.0396,0.5992,0.9098
Tree 2,0.599,0.334,0.0199
Tree 3,0.0169,0.7322,0.9818
Tree 4,0.892,0.8404,0.6971
Tree 5,0.0094,0.2464,0.8754
Tree 6,0.0854,0.6984,0.8023
Tree 7,0.6686,0.7332,0.1232
Tree 8,0.0932,0.995,0.1277
Tree 9,0.2621,0.4342,0.8001
Tree 10,0.0027,0.8075,0.8761
Tree 11,0.0185,0.8343,0.3764
Tree 12,0.7763,0.9889,0.8914
Tree 13,0.1009,0.7737,0.0963
Tree 14,0.055,0.8495,0.8948
Tree 15,0.1058,0.5676,0.5807
Tree 16,0.3547,0.8732,0.7419
Tree 17,0.0121,0.9888,0.8956
Tree 18,0.7434,0.0417,0.8183
Tree 19,0.0226,0.4032,0.3103
Tree 20,0.0286,0.2345,0.2332
